level,QRCode,Phase,Message
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: D:/Project/CYTC_Project/OHB80PortMonitor/OHB_V_1_0_APP_0518.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级响应成功: 01 06 00 AA 00 00 A9 EA
info,12001,等待设备,[固件升级] 等待设备准备就绪 1000 ms
info,12001,等待设备,[固件升级] 设备等待完毕（1000 ms），开始数据传输
info,12001,数据传输,[固件升级] 发送第一帧（256 字节，数据区 248 字节）
info,12001,数据帧,01 06 00 BB 74 96 55 AA 78 84 00 20 61 02 0C 08 39 42 0C 08 59 32 0C 08 A1 3A 0C 08 89 0A 0C 08 69 51 0C 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A1 01 0C 08 61 0B 0C 08 00 00 00 00 FD 01 0C 08 AD 49 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 8D 0A 0C 08 7B 02 0C 08
info,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 8D 4A 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 C9 50 0C 08 7B 02 0C 08 DD 50 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
info,12001,数据传输,[固件升级] 发送数据帧 2/117（256 字节）
info,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 99 4A 0C 08 7B 02 0C 08 99 0A 0C 08 A5 0A 0C 08 B1 0A 0C 08 7B 02 0C 08 7B 02 0C 08 00 00 00 00 00 00 00 00 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 F1 50 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
info,12001,数据帧,00 00 00 00 00 00 00 00 7B 02 0C 08 7B 02 0C 08 DF F8 10 D0 00 F0 4A FB 00 48 00 47 A1 55 0C 08 AF F3 00 80 78 84 00 20 2C 4B 19 68 08 68 B0 E8 F0 4F 80 F3 09 88 BF F3 6F 8F 4F F0 00 00 80 F3 11 88 70 47 00 00 00 00 08 48 00 68 00 68 80 F3 08 88 4F F0 00 00 80 F3 14 88 62 B6 61 B6 BF F3 4F 8F BF F3 6F 8F 00 DF 00 BF 00 BF 08 ED 00 E0 DF F8 0C 00 01 68 41 F4 70 01 01 60 70 47 00 BF
info,12001,数据传输,[固件升级] 发送数据帧 3/117（256 字节）
info,12001,数据帧,88 ED 00 E0 EF F3 09 80 BF F3 6F 8F 13 4B 1A 68 1E F0 10 0F 08 BF 20 ED 10 8A 20 E9 F0 4F 10 60 09 B4 4F F0 50 00 80 F3 11 88 BF F3 4F 8F BF F3 6F 8F 06 F0 F9 F9 4F F0 00 00 80 F3 11 88 09 BC 19 68 08 68 B0 E8 F0 4F 1E F0 10 0F 08 BF B0 EC 10 8A 80 F3 09 88 BF F3 6F 8F 70 47 3C 05 00 20 EF F3 05 80 70 47 00 00 06 48 80 47 06 48 00 47 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7
info,12001,数据帧,FE E7 FE E7 7D 4A 0C 08 89 01 0C 08 2D E9 F0 5F 05 46 00 20 92 46 9B 46 88 46 06 46 81 46 40 24 1B E0 28 46 41 46 47 46 22 46 00 F0 40 FA 53 46 5A 46 C0 1A 91 41 10 D3 11 46 18 46 22 46 00 F0 27 FA 2D 1A 67 EB 01 08 4F 46 22 46 01 20 00 21 00 F0 1E FA 17 EB 00 09 4E 41 20 1E A4 F1 01 04 DF DC 48 46 31 46 2A 46 43 46 BD E8 F0 9F 00 00 06 49 07 4A 08 68 50 43 43 F2 39 02 10 44 08 60
info,12001,数据传输,[固件升级] 发送数据帧 4/117（256 字节）
info,12001,数据帧,40 08 70 47 01 49 08 60 70 47 00 00 BC 05 00 20 6D 4E C6 41 40 EA 01 03 9B 07 03 D0 09 E0 08 C9 12 1F 08 C0 04 2A FA D2 03 E0 11 F8 01 3B 00 F8 01 3B 52 1E F9 D2 70 47 D2 B2 01 E0 00 F8 01 2B 49 1E FB D2 70 47 00 22 F6 E7 10 B5 13 46 0A 46 04 46 19 46 FF F7 F0 FF 20 46 10 BD 2D E9 FE 4F 80 46 81 EA 03 00 C0 0F 0C 46 00 90 21 F0 00 41 23 F0 00 45 B8 EB 02 00 A9 41 05 D2 40 46 21 46
info,12001,数据帧,90 46 1C 46 0B 46 02 46 23 F0 00 40 10 43 47 D0 27 0D C7 F3 0A 00 C3 F3 0A 51 02 90 40 1A 01 90 40 28 6B DA C3 F3 13 00 40 F4 80 1B 00 98 92 46 20 B1 00 23 D2 EB 03 0A 63 EB 0B 0B 01 98 59 46 C0 F1 40 02 50 46 00 F0 A3 F9 06 46 0D 46 50 46 59 46 01 9A 00 F0 BB F9 10 EB 08 00 61 41 00 24 87 EA 11 52 84 EA E7 73 1A 43 40 D0 00 9A 62 B3 01 9A 01 2A 4F EA 07 52 15 DC 00 1B 61 EB 02 01
info,12001,数据传输,[固件升级] 发送数据帧 5/117（256 字节）
info,12001,数据帧,4F F0 00 42 02 EA 07 52 CD E9 00 42 00 1C 41 F5 80 11 32 46 2B 46 00 F0 BB F9 03 B0 BD E8 F0 8F 40 46 21 46 F9 E7 00 1B 61 EB 02 01 00 1C 41 F5 80 13 00 18 5B 41 20 18 A2 F5 00 17 47 EB 03 01 40 EA D5 70 B6 19 6D 41 11 E0 6D 08 4F EA 36 06 45 EA C0 75 4F EA 07 52 00 1B 61 EB 02 01 00 1C 41 F5 80 11 49 08 4F EA 30 00 00 19 51 41 32 46 2B 46 03 B0 BD E8 F0 4F 00 F0 7B B9 00 98 01 22
info,12001,数据帧,40 00 00 23 D0 EB 02 02 63 EB E0 73 00 98 21 46 4F EA E0 74 B8 EB 00 00 61 EB 04 01 E9 E7 83 F0 00 43 5B E7 81 F0 00 41 58 E7 2D E9 FE 4F 81 EA 03 04 04 F0 00 44 21 F0 00 41 00 94 4F F0 00 0B 23 F0 00 43 50 EA 01 04 5E D0 52 EA 03 04 5B D0 C3 F3 0A 54 C1 F3 0A 55 2C 44 A4 F2 F3 34 01 94 A0 FB 02 54 C1 F3 13 01 41 F4 80 11 C3 F3 13 03 43 F4 80 13 01 FB 02 44 00 FB 03 4E 84 0A 97 0A
info,12001,数据传输,[固件升级] 发送数据帧 6/117（256 字节）
info,12001,数据帧,44 EA 81 54 47 EA 83 57 A4 FB 07 68 02 95 8D 0A 05 FB 07 85 4F EA 93 2C 04 FB 0C 54 27 05 02 9D 4F EA 06 58 47 EA 16 37 B5 EB 08 05 6E EB 07 0C 87 0E 92 0E 47 EA 81 17 42 EA 83 12 A7 FB 02 01 B6 EB 0B 01 64 EB 00 04 2B 0D 43 EA 0C 33 5E 18 44 EB 1C 50 DA 46 51 46 E7 FB 02 01 C5 F3 13 04 4F EA 0B 33 43 EA 14 53 4F EA 04 32 01 9C 43 EA 06 03 A4 F1 0C 04 02 94 00 9C CD E9 00 B4 00 F0
info,12001,数据帧,07 F9 03 B0 BD E8 F0 8F 00 20 01 46 F9 E7 2D E9 F0 4D 81 EA 03 04 04 F0 00 4B 21 F0 00 45 14 46 4F F0 00 0A 23 F0 00 41 50 EA 05 02 20 D0 54 EA 01 02 1D D0 C5 F3 0A 57 02 46 C5 F3 13 03 C1 F3 13 00 C1 F3 0A 56 40 F4 80 15 43 F4 80 13 A7 EB 06 08 10 1B D6 46 08 F2 FD 38 73 EB 05 00 02 D3 08 F1 01 08 01 E0 92 18 5B 41 B8 F1 00 0F 03 DA 00 20 01 46 BD E8 F0 8D 00 20 4F F4 80 11 06 46
info,12001,数据传输,[固件升级] 发送数据帧 7/117（256 字节）
info,12001,数据帧,84 46 0E E0 17 1B 73 EB 05 07 05 D3 12 1B 63 EB 05 03 06 43 4C EA 01 0C 49 08 4F EA 30 00 92 18 5B 41 50 EA 01 07 ED D1 52 EA 03 00 12 D0 82 EA 04 00 83 EA 05 01 08 43 05 D0 10 1B AB 41 06 D2 01 22 00 23 06 E0 00 22 4F F0 00 43 02 E0 6F F0 01 02 53 10 1A EB 06 00 4C EB 08 51 10 EB 0A 00 41 EB 0B 01 BD E8 F0 4D 00 F0 83 B8 0E B5 40 F2 33 41 02 91 00 21 CD E9 00 11 0A 46 0B 46 00 F0
info,12001,数据帧,87 F8 03 B0 00 BD C1 F3 0A 52 10 B5 C1 F3 13 01 40 F2 FF 33 41 F4 80 11 9A 42 01 DA 00 20 10 BD 40 F2 33 43 9A 42 A2 F2 33 42 03 DC 52 42 00 F0 3E F8 10 BD 90 40 10 BD 00 F0 00 42 30 F0 00 40 0A D0 C1 0D 01 F5 60 71 C0 F3 16 00 42 EA 01 51 C2 08 40 07 11 43 70 47 00 20 01 46 70 47 00 00 30 B5 04 1E 71 F1 00 04 04 DB 4F F0 00 44 40 42 64 EB 01 01 14 1E 73 F1 00 04 05 DB 1C 46 4F F0
info,12001,数据传输,[固件升级] 发送数据帧 8/117（256 字节）
info,12001,数据帧,00 43 52 42 63 EB 04 03 99 42 08 BF 90 42 30 BD 20 2A 04 DB 20 3A 00 FA 02 F1 00 20 70 47 91 40 C2 F1 20 03 20 FA 03 F3 19 43 90 40 70 47 20 2A 04 DB 20 3A 21 FA 02 F0 00 21 70 47 21 FA 02 F3 D0 40 C2 F1 20 02 91 40 08 43 19 46 70 47 20 2A 06 DB CB 17 20 3A 41 FA 02 F0 43 EA E0 73 06 E0 41 FA 02 F3 D0 40 C2 F1 20 02 91 40 08 43 19 46 70 47 10 B5 14 1E 73 F1 00 04 08 DA 40 1C 41 F1
info,12001,数据帧,00 01 92 18 5B 41 1A 43 01 D1 20 F0 01 00 10 BD 2D E9 F0 4D 92 46 9B 46 11 B1 B1 FA 81 F2 02 E0 B0 FA 80 F2 20 32 90 46 FF F7 B2 FF 04 46 0F 46 40 EA 0A 00 41 EA 0B 01 53 46 5A 46 08 43 13 D0 11 46 53 EA 01 00 19 D0 C8 F1 40 02 50 46 FF F7 AE FF 05 46 0E 46 50 46 59 46 42 46 FF F7 98 FF 08 43 05 D0 01 20 04 E0 20 46 39 46 BD E8 F0 8D 00 20 05 43 46 EA E0 76 2C 43 37 43 0A 98 63 05
info,12001,数据传输,[固件升级] 发送数据帧 9/117（256 字节）
info,12001,数据帧,E4 0A A0 EB 08 00 00 22 FD 0A 44 EA 47 54 0A 30 02 D5 00 20 01 46 E9 E7 01 05 10 19 69 41 DD E9 08 45 00 19 69 41 BD E8 F0 4D A2 E7 06 4C 07 4D 06 E0 E0 68 40 F0 01 03 94 E8 07 00 98 47 10 34 AC 42 F6 D3 FF F7 A8 FC 14 74 0C 08 34 74 0C 08 70 B5 8C 18 10 F8 01 5B 15 F0 07 03 01 D1 10 F8 01 3B 2A 11 06 D1 10 F8 01 2B 03 E0 10 F8 01 6B 01 F8 01 6B 5B 1E F9 D1 2B 07 05 D4 00 23 52 1E
info,12001,数据帧,0D D4 01 F8 01 3B FA E7 10 F8 01 3B CB 1A 92 1C 03 E0 13 F8 01 5B 01 F8 01 5B 52 1E F9 D5 A1 42 D8 D3 00 20 70 BD 10 B5 01 46 80 6B 02 6C 12 F0 50 0F 05 D0 02 6C D2 06 26 D5 00 F0 61 FF 10 BD 01 6C 41 F4 00 71 01 64 01 68 8A 68 12 F0 40 5F 17 D1 02 7E AA B9 CA 6A 12 F4 70 0F 02 D0 8A 68 52 05 0E D4 4A 68 22 F0 20 02 4A 60 01 6C 21 F4 80 71 01 64 01 6C C9 04 03 D4 01 6C 41 F0 01 01
info,12001,数据传输,[固件升级] 发送数据帧 10/117（256 字节）
info,12001,数据帧,01 64 00 F0 3B FF 10 BD 80 6B C2 6C BD E8 10 40 08 46 10 47 10 B5 80 6B 40 21 01 64 41 6C 41 F0 04 01 41 64 00 F0 2C FF 10 BD 10 B5 80 6B 00 F0 26 FF 10 BD 46 49 10 B5 4A 68 22 F4 40 32 4A 60 4A 68 43 68 1A 43 4A 60 01 68 4A 68 22 F4 80 72 4A 60 01 68 4A 68 03 69 42 EA 03 22 4A 60 01 68 4A 68 22 F0 40 72 4A 60 01 68 4A 68 83 68 1A 43 4A 60 01 68 8A 68 22 F4 00 62 8A 60 01 68 8A 68
info,12001,数据帧,C3 68 1A 43 8A 60 81 6A 6F F0 70 62 D1 42 01 68 8A 68 22 F0 70 62 8A 60 01 68 8A 68 0C D0 83 6A 1A 43 8A 60 01 68 8A 68 22 F0 40 52 8A 60 01 68 8A 68 C3 6A 1A 43 01 E0 22 F0 40 52 8A 60 01 68 8A 68 22 F0 02 02 8A 60 01 68 8A 68 03 7E 42 EA 43 02 8A 60 90 F8 20 10 00 29 01 68 4A 68 0F D0 42 F4 00 62 4A 60 01 68 4A 68 22 F4 60 42 4A 60 01 68 4A 68 17 4C 43 6A 04 EB 43 33 1A 43 01 E0
info,12001,数据传输,[固件升级] 发送数据帧 11/117（256 字节）
info,12001,数据帧,22 F4 00 62 4A 60 01 68 CA 6A 22 F4 70 02 CA 62 01 68 CA 6A 83 8B 10 4C 04 EB 03 53 1A 43 CA 62 01 68 8A 68 22 F4 00 72 8A 60 01 68 8A 68 90 F8 30 30 42 EA 43 22 8A 60 01 68 8A 68 22 F4 80 62 8A 60 01 68 8A 68 40 69 42 EA 80 20 88 60 10 BD 00 23 01 40 00 E0 FF FF 00 00 F0 FF 10 B5 04 46 01 F0 F2 F9 02 21 03 20 00 F0 B8 FB 0A 20 01 F0 91 F9 00 23 22 46 05 49 18 46 01 F0 A7 F9 0A 20
info,12001,数据帧,01 F0 88 F9 BD E8 10 40 01 F0 96 B9 00 C0 00 08 FE E7 00 00 01 48 00 F0 F1 BF 00 00 78 36 00 20 01 48 00 F0 EB BF 00 00 BC 33 00 20 01 48 00 F0 E5 BF 00 00 D8 36 00 20 01 48 00 F0 DF BF 00 00 18 36 00 20 01 68 18 23 CA B2 10 3A B2 FB F3 F2 05 4B 6F F3 09 01 03 2A 9B 5C C3 65 00 D9 09 1D 81 65 08 46 70 47 00 00 C4 73 0C 08 10 B5 01 46 00 20 8B 69 8A 6A 4F F0 C0 74 53 B1 B3 F5 00 5F
info,12001,数据传输,[固件升级] 发送数据帧 12/117（256 字节）
